"","external_gene_name","chromosome_name","transcript_biotype"
"363","cey-3","I","protein_coding"
"364","cey-4","III","protein_coding"
"365","cfi-1","I","protein_coding"
"366","cft-1","V","protein_coding"
"367","cfz-2","V","protein_coding"
"368","cgh-1","III","protein_coding"
"369","cgp-1","V","protein_coding"
"370","cha-1","IV","protein_coding"
"371","chd-3","X","protein_coding"
"372","che-1","I","protein_coding"
"373","che-2","X","protein_coding"
"374","che-3","I","protein_coding"
"375","che-6","IV","protein_coding"
"376","che-7","V","protein_coding"
"377","che-11","V","protein_coding"
"378","che-12","V","protein_coding"
"379","che-13","I","protein_coding"
"380","che-14","I","protein_coding"
"381","chs-1","I","protein_coding"
"382","chs-2","II","protein_coding"
"383","chk-1","V","protein_coding"
"384","chk-2","V","protein_coding"
"385","chn-1","I","protein_coding"
"386","cho-1","IV","protein_coding"
"387","chp-1","I","protein_coding"
"388","cht-1","X","protein_coding"
"389","cic-1","III","protein_coding"
"390","cit-1.1","III","protein_coding"
"391","cit-1.2","III","protein_coding"
"392","cka-1","IV","protein_coding"
"393","cka-2","X","protein_coding"
"394","ckb-1","III","protein_coding"
"395","ckb-2","III","protein_coding"
"396","ckb-3","III","protein_coding"
"397","ckb-4","V","protein_coding"
"398","ckc-1","X","protein_coding"
"399","cki-1","II","protein_coding"
"400","cki-2","II","protein_coding"
"401","ckk-1","III","protein_coding"
"402","cku-70","III","protein_coding"
"403","cku-80","III","protein_coding"
"404","cky-1","V","protein_coding"
"405","clc-1","X","protein_coding"
"406","clc-2","X","protein_coding"
"407","clc-3","X","protein_coding"
"408","clc-4","X","protein_coding"
"409","clc-5","X","protein_coding"
"410","cle-1","I","protein_coding"
"411","clh-1","II","protein_coding"
"412","clh-2","II","protein_coding"
"413","clh-3","II","protein_coding"
"414","clh-4","X","protein_coding"
"415","clh-5","II","protein_coding"
"416","clh-6","V","protein_coding"
"417","cpi-2","V","protein_coding"
"418","cpi-1","IV","protein_coding"
"419","clk-1","III","protein_coding"
"420","clk-2","III","protein_coding"
"421","cln-3.1","V","protein_coding"
"422","cln-3.2","I","protein_coding"
"423","cln-3.3","V","protein_coding"
"424","clp-1","III","protein_coding"
"425","clp-2","III","protein_coding"
"426","clp-3","I","protein_coding"
"427","clp-4","III","protein_coding"
"428","clp-6","IV","protein_coding"
"429","clp-7","IV","protein_coding"
"430","clr-1","II","protein_coding"
"431","cls-2","III","protein_coding"
"432","clu-1","III","protein_coding"
"433","clx-1","IV","protein_coding"
